"Oregon Liquor Control Commission Price Changes - Effective July 01, 2018"
"NOTE","ITEM NBR","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
"%","2292B","R",22.95,$275.40,"HORNITOS BLACK BARREL",2.00-
"%","2336B","R",18.95,$227.40,"JACK DANIEL'S TENNESSEE FI",2.00-
,"2341B","R",29.95,$179.70,"BIG GIN",3.00
,"2354B","S",65.95,$395.70,"PLANTATION RUM 20TH ANNIVE",11.00
,"2460B","S",57.95,$347.70,"CH. D'ORIGNAC FINS BOIS CO",18.00
,"2482B","R",19.95,$239.40,"JIM BEAM KENTUCKY FIRE",3.00
,"2486B","H",22.95,$137.70,"HORNITOS REPOSADO W/GLS",2.00-
,"2562B","B",24.95,$149.70,"JIM BEAM BLACK W/4-50MLS",2.00
,"2629B","S",55.00,$330.00,"CITADELLE GIN RES. SOLARA",15.05
,"2638B","S",92.00,$552.00,"CHATEAU D'ORIGNAC XO",25.05
,"2687B","S",29.95,$359.40,"HACIENDA VIEJA REPOSADO",3.25-
,"2874B","S",29.95,$359.40,"HAYMAN'S SLOE GIN",1.00
,"2897B","R",23.95,$287.40,"SWALLOWTAIL VODKA",2.00
,"3005B","H",46.95,$281.70,"REMY VSOP W/1738 50ML",4.00
,"3009B","H",49.95,$299.70,"HENNESSY VSOP GIFT",10.00-
"#","3012B","H",34.95,$209.70,"GRAND MARNIER W/2 GLS",0.00
,"3025B","H",37.95,$227.70,"CHIVAS REGAL W/2 50 ML'S",5.00
,"3026B","H",39.95,$239.70,"GLENLIVET FOUNDER'S RES.",3.00
,"3027B","H",23.95,$143.70,"DISARONNO GIFT SET",3.00-
"#","3049B","H",29.95,$179.70,"JAMESON IRISH W/GLASSES",3.00
,"3050B","B",24.95,$149.70,"JIM BEAM BLACK W GLASSES",2.00
,"3056B","H",19.95,$119.70,"TEQUILA ROSE W/GLASS",3.00
,"3063B","H",18.95,$113.70,"FORTY CREEK W THERMOS",5.00-
,"3067B","H",22.95,$137.70,"HORNITOS PLATA W/GLA",2.00-
,"3075B","H",28.95,$173.70,"GENTLEMAN JACK W/CUP",4.00-
,"3088B","H",17.95,$107.70,"TARANTULA AZUL W/2 GLASSES",2.00-
,"3092B","H",39.95,$239.70,"WOODFORD RESERVE W/GLS",3.00
,"3105B","R",39.95,$239.70,"WOODFORD RESERVE RYE",3.00
,"3124B","R",24.95,$299.40,"JIM BEAM BONDED",2.00
,"3191B","R",19.95,$239.40,"JIM BEAM APPLE",3.00
,"3196B","O",20.95,$125.70,"JACK DANIEL'S GRILL OUT W/",2.00-
"*","3214H","T",44.95,$269.70,"TOWNSHEND'S WHITE ROSE",0.00
,"3308B","H",24.95,$149.70,"WILD TURKEY AM. HON W/PITC",5.00
,"3309B","H",24.95,$149.70,"JIM BEAM DEVIL'S CUT W/GLS",2.00
,"3314B","H",18.95,$113.70,"JACK DANIEL'S TN HON W/ICE",2.00-
